final lin 0.0 0 ,final log 0.0 0 ,final power 0.0 0 ,final lin 0.5235987755982988 0 ,final log 0.5235987755982988 0 ,final power 0.5235987755982988 0 ,final lin 1.0471975511965976 0 ,final log 1.0471975511965976 0 ,final power 1.0471975511965976 0 ,final lin 1.5707963267948966 0 ,final log 1.5707963267948966 0 ,final power 1.5707963267948966 0 ,final lin 0.0 1 ,final log 0.0 1 ,final power 0.0 1 ,final lin 0.5235987755982988 1 ,final log 0.5235987755982988 1 ,final power 0.5235987755982988 1 ,final lin 1.0471975511965976 1 ,final log 1.0471975511965976 1 ,final power 1.0471975511965976 1 ,final lin 1.5707963267948966 1 ,final log 1.5707963267948966 1 ,final power 1.5707963267948966 1 
22780,64664,18996,23780,67498,19834,24382,69198,20334,26118,74106,21778,26530,75270,22118,27026,76688,22532,28200,80010,23510,28200,80010,23510
28536,81506,24010,29552,84378,24854,30136,86030,25344,31820,90794,26744,32218,91918,27076,32700,93286,27480,33816,96432,28408,33816,96432,28408
49881,134238,41988,50967,137154,42904,51567,138756,43408,53295,143384,44858,53701,144476,45204,54193,145804,45622,55313,148796,46560,55313,148796,46560
19115,50622,15322,20231,53612,16262,20813,55170,16750,22493,59672,18164,22891,60734,18500,23371,62020,18902,24429,64850,19790,24429,64850,19790
9812,24560,8314,11036,27598,9352,11634,29086,9860,13350,33386,11320,13752,34396,11662,14242,35620,12074,15298,38268,12970,15298,38268,12970
8376,22496,7490,9588,25754,8580,10138,27236,9074,11730,31498,10498,12104,32502,10830,12556,33714,11232,13512,36278,12084,13512,36278,12084
8236,21030,7432,9608,24538,8668,10168,25980,9178,11794,30130,10648,12176,31104,10998,12636,32272,11408,13592,34712,12266,13592,34712,12266
8250,20032,7472,9854,23938,8930,10434,25348,9456,12094,29392,10964,12482,30342,11318,12952,31470,11740,13920,33792,12602,13920,33792,12602
7930,19272,7554,9844,23914,9382,10412,25292,9920,12028,29240,11468,12408,30160,11830,12856,31258,12262,13754,33466,13132,13754,33466,13132
7672,18674,7298,10596,25766,10132,11150,27114,10662,12730,30952,12162,13098,31848,12510,13538,32912,12924,14404,35010,13742,14404,35010,13742
7846,18182,7480,11060,25686,10532,11630,27006,11072,13246,30754,12616,13622,31624,12974,14070,32656,13402,14930,34656,14226,14930,34656,14226
7670,17802,7684,7670,17802,7684,8226,19090,8242,9800,22744,9820,10166,23592,10186,10596,24594,10618,11416,26484,11438,11416,26484,11438
7546,17502,7888,7546,17502,7888,8094,18772,8460,9636,22336,10070,9992,23158,10438,10412,24132,10876,11190,25944,11690,11190,25944,11690
7816,17298,7812,7816,17298,7812,8388,18540,8370,9940,22016,9952,10300,22812,10310,10726,23750,10734,11506,25472,11506,11506,25472,11506
8100,17202,8444,8100,17202,8444,8674,18424,9046,10270,21816,10704,10634,22596,11086,11066,23508,11528,11838,25148,12330,11838,25148,12330
8124,17246,8464,8124,17246,8464,8696,18450,9056,10256,21768,10692,10612,22524,11062,11024,23408,11494,11758,24972,12262,11758,24972,12262
8242,17536,8930,8242,17536,8930,8798,18722,9536,10330,21960,11190,10678,22700,11570,11078,23560,12012,11778,25054,12764,11778,25054,12764
8914,17774,9968,8914,17774,9968,9490,18926,10610,11038,22030,12350,11392,22734,12748,11802,23552,13206,12502,24940,13984,12502,24940,13984
9640,19618,10772,9640,19618,10772,10208,20776,11408,11722,23876,13106,12066,24572,13488,12462,25380,13932,13122,26736,14676,13122,26736,14676
13270,25868,15252,13270,25868,15252,13852,27010,15926,15396,30038,17702,15740,30722,18104,16138,31506,18566,16796,32802,19328,16796,32802,19328
9944,19860,11866,9944,19860,11866,10528,20996,12558,12032,23954,14360,12370,24612,14762,12762,25372,15224,13390,26606,15976,13390,26606,15976
4700,9224,5612,4700,9224,5612,5274,10350,6296,6748,13236,8052,7078,13880,8444,7456,14618,8894,8058,15794,9604,8058,15794,9604
4942,8986,5990,4942,8986,5990,5556,10106,6738,7110,12932,8618,7454,13558,9034,7848,14276,9518,8468,15394,10270,8468,15394,10270
4650,8800,5862,4650,8800,5862,5240,9918,6602,6698,12676,8448,7022,13286,8854,7392,13980,9318,7960,15054,10032,7960,15054,10032
4888,8586,6066,4888,8586,6066,5522,9688,6852,7060,12390,8760,7402,12982,9178,7788,13658,9658,8372,14684,10382,8372,14684,10382
4606,8394,6092,4606,8394,6092,5218,9514,6900,6670,12160,8814,6988,12742,9234,7348,13402,9710,7884,14384,10416,7884,14384,10416
4840,8208,6128,4840,8208,6128,5496,9326,6962,7018,11912,8882,7352,12480,9304,7726,13120,9780,8276,14054,10478,8276,14054,10478
4712,8016,6276,4712,8016,6276,5372,9140,7156,6864,11678,9136,7184,12224,9568,7546,12840,10056,8074,13734,10762,8074,13734,10762
4618,7836,6296,4618,7836,6296,5286,8972,7210,6740,11448,9202,7058,11986,9634,7412,12588,10120,7914,13442,10804,7914,13442,10804
4668,7674,6474,4668,7674,6474,5368,8826,7452,6848,11250,9498,7166,11772,9940,7522,12360,10436,8022,13182,11128,8022,13182,11128
4698,7350,6612,4698,7350,6612,5434,8500,7644,6916,10830,9740,7234,11332,10190,7594,11892,10694,8086,12660,11380,8086,12660,11380
4606,7338,6618,4606,7338,6618,5362,8544,7700,6824,10864,9794,7138,11362,10242,7486,11912,10740,7954,12660,11412,7954,12660,11412
4648,7188,6904,4648,7188,6904,5452,8434,8100,6928,10708,10288,7242,11196,10758,7590,11732,11274,8054,12450,11964,8054,12450,11964
4534,7020,6874,4534,7020,6874,5374,8316,8146,6810,10542,10324,7112,11012,10784,7452,11532,11296,7894,12218,11972,7894,12218,11972
4574,6870,7020,4574,6870,7020,5488,8240,8420,6942,10420,10644,7256,10880,11120,7596,11390,11638,8034,12044,12308,8034,12044,12308
4616,6726,6994,4616,6726,6994,5632,8208,8534,7100,10344,10756,7412,10798,11226,7750,11294,11738,8182,11928,12392,8182,11928,12392
4526,6588,7246,4526,6588,7246,5658,8234,9052,7090,10326,11350,7392,10766,11836,7724,11248,12366,8138,11852,13028,8138,11852,13028
4550,6448,7448,4550,6448,7448,5920,8376,9688,7366,10422,12052,7668,10850,12548,7994,11310,13080,8400,11884,13746,8400,11884,13746
4584,6314,7430,4584,6314,7430,6502,8968,10556,7958,10976,12916,8260,11394,13408,8586,11846,13940,8984,12400,14596,8984,12400,14596
4488,6186,7616,4488,6186,7616,7416,10210,12572,8844,12178,14996,9142,12588,15504,9460,13030,16050,9846,13564,16706,9846,13564,16706
4510,6044,7714,4510,6044,7714,4824,6442,8202,6254,8370,10664,6552,8766,11172,6874,9196,11716,7252,9706,12366,7252,9706,12366
4538,5934,7788,4538,5934,7788,4538,5934,7788,5982,7828,10272,6284,8220,10786,6608,8640,11338,6986,9128,11984,6986,9128,11984
4564,5700,7968,4564,5700,7968,4564,5700,7968,6014,7502,10500,6316,7878,11024,6634,8276,11582,7000,8732,12220,7000,8732,12220
4462,5682,8150,4462,5682,8150,4462,5682,8150,5884,7494,10744,6176,7870,11278,6486,8266,11844,6840,8718,12492,6840,8718,12492
4480,5578,8298,4480,5578,8298,4480,5578,8298,5908,7356,10948,6198,7720,11488,6508,8106,12066,6856,8542,12714,6856,8542,12714
4512,5472,8366,4512,5472,8366,4512,5472,8366,5948,7218,11026,6250,7580,11580,6556,7954,12150,6902,8370,12792,6902,8370,12792
4514,5358,8592,4514,5358,8592,4514,5358,8592,5950,7070,11340,6244,7422,11900,6554,7784,12490,6894,8186,13134,6894,8186,13134
4430,5246,8644,4430,5246,8644,4430,5246,8644,5836,6912,11396,6122,7252,11958,6422,7612,12548,6748,8002,13186,6748,8002,13186
4536,5146,8872,4536,5146,8872,4536,5146,8872,5972,6782,11702,6266,7116,12282,6568,7460,12880,6892,7830,13516,6892,7830,13516
4444,5054,9010,4444,5054,9010,4444,5054,9010,5858,6662,11874,6148,6994,12460,6444,7330,13060,6764,7692,13702,6764,7692,13702
4454,4930,9198,4454,4930,9198,4454,4930,9198,5872,6504,12130,6164,6828,12730,6458,7158,13342,6766,7500,13982,6766,7500,13982
4472,4852,9308,4472,4852,9308,4472,4852,9308,5894,6398,12272,6186,6714,12878,6482,7036,13494,6786,7364,14130,6786,7364,14130
4376,4752,9512,4376,4752,9512,4376,4752,9512,5776,6268,12548,6062,6578,13168,6350,6892,13796,6644,7210,14434,6644,7210,14434
4490,4666,9692,4490,4666,9692,4490,4666,9692,5912,6146,12770,6202,6448,13398,6494,6754,14028,6786,7060,14664,6786,7060,14664
4486,4572,9880,4486,4572,9880,4486,4572,9880,5914,6026,13026,6210,6326,13674,6506,6626,14322,6800,6926,14966,6800,6926,14966
4396,4394,10110,4396,4394,10110,4396,4394,10110,5790,5788,13314,6074,6072,13970,6358,6356,14622,6638,6634,15264,6638,6634,15264
4488,4402,10170,4488,4402,10170,4488,4402,10170,5920,5804,13418,6212,6090,14072,6496,6368,14716,6774,6644,15352,6774,6644,15352
4410,4334,10516,4410,4334,10516,4410,4334,10516,5806,5712,13852,6100,6000,14550,6390,6282,15236,6664,6548,15890,6664,6548,15890
