final lin 0.0 0.0,final log 0.0 0.0,final power 0.0 0.0,final lin 0.0 0.524,final log 0.0 0.524,final power 0.0 0.524,final lin 0.0 1.047,final log 0.0 1.047,final power 0.0 1.047,final lin 0.0 1.571,final log 0.0 1.571,final power 0.0 1.571,final lin 0.5 0.0,final log 0.5 0.0,final power 0.5 0.0,final lin 0.5 0.524,final log 0.5 0.524,final power 0.5 0.524,final lin 0.5 1.047,final log 0.5 1.047,final power 0.5 1.047,final lin 0.5 1.571,final log 0.5 1.571,final power 0.5 1.571,final lin 0.9 0.0,final log 0.9 0.0,final power 0.9 0.0,final lin 0.9 0.524,final log 0.9 0.524,final power 0.9 0.524,final lin 0.9 1.047,final log 0.9 1.047,final power 0.9 1.047,final lin 0.9 1.571,final log 0.9 1.571,final power 0.9 1.571
1220123,4787362,655392,1220123,4787362,655392,1222557,4796922,656704,1224339,4803898,657660,1225399,4808016,658226,1226425,4812042,658782,1227405,4815896,659306,1230027,4826182,660712,1230541,4828210,660990,1231199,4830802,661346,1233641,4840398,662658,1233641,4840398,662658
1166203,4577853,716991,1166203,4577853,716991,1168581,4587201,718455,1170293,4593911,719509,1171327,4597969,720145,1172317,4601857,720755,1173237,4605467,721321,1175697,4615127,722831,1176197,4617087,723137,1176835,4619587,723535,1179117,4628533,724933,1179117,4628533,724933
1126155,4417456,691383,1126155,4417456,691383,1128493,4426610,692819,1130143,4433070,693831,1131163,4437066,694457,1132121,4440818,695045,1132985,4444200,695573,1135301,4453322,696995,1135783,4455222,697293,1136399,4457636,697671,1138531,4466004,698979,1138531,4466004,698979
1175216,4281540,670769,1175216,4281540,670769,1177692,4290548,672183,1179402,4296770,673163,1180486,4300718,673781,1181484,4304352,674353,1182358,4307544,674851,1184736,4316182,676205,1185240,4318018,676493,1185880,4320354,676857,1188026,4328192,678083,1188026,4328192,678083
1142244,4163309,653044,1142244,4163309,653044,1144682,4172189,654436,1146332,4178197,655378,1147404,4182103,655990,1148372,4185631,656544,1149198,4188645,657018,1151446,4196837,658302,1151934,4198617,658584,1152552,4200867,658936,1154566,4208221,660088,1154566,4208221,660088
1115150,4062518,717273,1115150,4062518,717273,1117562,4071306,718823,1119154,4077108,719845,1120218,4080982,720529,1121158,4084412,721135,1121940,4087280,721639,1124084,4095126,723019,1124560,4096850,723323,1125154,4099026,723707,1127048,4105926,724931,1127048,4105926,724931
1089765,3970325,700772,1089765,3970325,700772,1092157,3979037,702310,1093699,3984653,703302,1094755,3988501,703980,1095669,3991835,704570,1096415,3994549,705052,1098467,4002031,706374,1098927,4003701,706668,1099503,4005809,707042,1101289,4012303,708192,1101289,4012303,708192
1144778,3890894,763478,1144778,3890894,763478,1147332,3899562,765178,1148930,3905026,766242,1150058,3908858,766996,1151022,3912108,767634,1151784,3914700,768142,1153892,3921870,769552,1154372,3923494,769870,1154970,3925528,770264,1156766,3931642,771466,1156766,3931642,771466
1124786,3821679,749492,1124786,3821679,749492,1127334,3830339,751192,1128880,3835599,752222,1130008,3839435,752976,1130952,3842607,753604,1131680,3845083,754088,1133704,3851965,755440,1134174,3853533,755748,1134752,3855497,756136,1136448,3861261,757262,1136448,3861261,757262
1106322,3764904,738247,1106322,3764904,738247,1108876,3773590,739949,1110378,3778702,740949,1111508,3782546,741705,1112418,3785646,742313,1113114,3788012,742779,1115060,3794626,744089,1115508,3796152,744385,1116066,3798054,744757,1117666,3803498,745823,1117666,3803498,745823
